"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Summary Quote","Exchange"
"TFSC","1347 Capital Corp.","9.6","$57.1M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfsc","NASDAQ"
"TFSCR","1347 Capital Corp.","0.3","nan","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscr","NASDAQ"
"TFSCU","1347 Capital Corp.","10.19","$42.59M","2014","nan","nan","http://www.nasdaq.com/symbol/tfscu","NASDAQ"
"TFSCW","1347 Capital Corp.","0.23","nan","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscw","NASDAQ"
"PIH","1347 Property Insurance Holdings, Inc.","7.56","$48.07M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih","NASDAQ"
"FLWS","1-800 FLOWERS.COM, Inc.","11.56","$748.01M","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws","NASDAQ"
"FCTY","1st Century Bancshares, Inc","6.8705","$69.85M","nan","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty","NASDAQ"
"FCCY","1st Constitution Bancorp (NJ)","11.52","$86.3M","nan","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy","NASDAQ"
"SRCE","1st Source Corporation","32.63","$810.54M","nan","Finance","Major Banks","http://www.nasdaq.com/symbol/srce","NASDAQ"
"VNET","21Vianet Group, Inc.","17.39","$1.15B","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet","NASDAQ"
"TWOU","2U, Inc.","25.4","$1.04B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou","NASDAQ"
"DGLD","3X Inverse Gold ETN Velocityshares","71.2692","$9.69M","nan","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/dgld","NASDAQ"
"JOBS","51job, Inc.","33.9","$2B","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs","NASDAQ"
"SIXD","6D Global Technologies, Inc.","8.3599","$653.54M","nan","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/sixd","NASDAQ"
"EGHT","8x8 Inc","8.87","$797.13M","nan","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght","NASDAQ"
"AVHI","A V Homes, Inc.","15.97","$356.76M","nan","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi","NASDAQ"
"SHLM","A. Schulman, Inc.","48.15","$1.4B","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm","NASDAQ"
"AAON","AAON, Inc.","23.85","$1.29B","nan","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon","NASDAQ"
"ABAX","ABAXIS, Inc.","63.1","$1.42B","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax","NASDAQ"
"ABY","Abengoa Yield plc","34.29","$2.74B","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aby","NASDAQ"
"ABGB","Abengoa, S.A.","18.83","$3.16B","2013","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/abgb","NASDAQ"
"ABMD","ABIOMED, Inc.","70.72","$2.91B","nan","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd","NASDAQ"
"AXAS","Abraxas Petroleum Corporation","3.35","$355.74M","nan","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas","NASDAQ"
"ACTG","Acacia Research Corporation","10.6","$540.05M","nan","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg","NASDAQ"
"ACHC","Acadia Healthcare Company, Inc.","70.205","$4.67B","nan","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc","NASDAQ"
"ACAD","ACADIA Pharmaceuticals Inc.","31.49","$3.15B","1985","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad","NASDAQ"
"ACST","Acasti Pharma, Inc.","0.4601","$48.97M","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst","NASDAQ"
"AXDX","Accelerate Diagnostics, Inc.","22.7","$1.01B","nan","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx","NASDAQ"
"XLRN","Acceleron Pharma Inc.","34.58","$1.13B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn","NASDAQ"
"ANCX","Access National Corporation","18.74","$196.25M","nan","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx","NASDAQ"
"ARAY","Accuray Incorporated","9.74","$764.49M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray","NASDAQ"
"ACRX","AcelRx Pharmaceuticals, Inc.","4.01","$175.3M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx","NASDAQ"
"ACET","Aceto Corporation","21.9","$637.49M","nan","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet","NASDAQ"
"AKAO","Achaogen, Inc.","7.86","$141.72M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao","NASDAQ"
"ACHN","Achillion Pharmaceuticals, Inc.","10.19","$1.2B","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn","NASDAQ"
"ACIW","ACI Worldwide, Inc.","21.48","$2.49B","nan","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw","NASDAQ"
"ACNB","ACNB Corporation","20.3","$122.12M","nan","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb","NASDAQ"
"ACOR","Acorda Therapeutics, Inc.","33.51","$1.43B","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor","NASDAQ"
"ACFN","Acorn Energy, Inc.","0.5","$13.24M","nan","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acfn","NASDAQ"
"ACTS","Actions Semiconductor Co., Ltd.","1.52","$130.72M","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts","NASDAQ"
"ACPW","Active Power, Inc.","2.22","$51.42M","2000","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/acpw","NASDAQ"
"ATVI","Activision Blizzard, Inc","22.64","$16.37B","nan","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi","NASDAQ"
"ACTA","Actua Corporation","15.52","$627.69M","nan","Technology","EDP Services","http://www.nasdaq.com/symbol/acta","NASDAQ"
"ACUR","Acura Pharmaceuticals, Inc.","0.9396","$45.99M","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acur","NASDAQ"
"ACXM","Acxiom Corporation","18.62","$1.44B","nan","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm","NASDAQ"
"ADMS","Adamas Pharmaceuticals, Inc.","17.71","$313.56M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms","NASDAQ"
"ADMP","Adamis Pharmaceuticals Corporation","3.84","$51.19M","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp","NASDAQ"
"ADUS","Addus HomeCare Corporation","23.55","$259.28M","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus","NASDAQ"
"AEY","ADDvantage Technologies Group, Inc.","2.36","$23.7M","nan","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey","NASDAQ"
"ADEP","Adept Technology, Inc.","5.92","$77.57M","nan","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/adep","NASDAQ"
"ADMA","ADMA Biologics Inc","9.26","$86.04M","nan","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adma","NASDAQ"
"ADBE","Adobe Systems Incorporated","75.68","$37.86B","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe","NASDAQ"
"ADTN","ADTRAN, Inc.","18.82","$1.01B","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn","NASDAQ"
"AEIS","Advanced Energy Industries, Inc.","25.7","$1.05B","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis","NASDAQ"
"AMD","Advanced Micro Devices, Inc.","2.69","$2.09B","nan","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd","NASDAQ"
"ADXS","Advaxis, Inc.","15.65","$425.82M","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxs","NASDAQ"
"ADXSW","Advaxis, Inc.","11.5","nan","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxsw","NASDAQ"
"ADVS","Advent Software, Inc.","43.6","$2.28B","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/advs","NASDAQ"
"MULT","AdvisorShares Sunrise Global Multi-Strategy ETF","24.178","$2.42M","nan","nan","nan","http://www.nasdaq.com/symbol/mult","NASDAQ"
