indx,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Summary Quote,Exchange,minutedata
0,TFSC,1347 Capital Corp.,9.6,$57.1M,2014.0,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc,NASDAQ,True
1,TFSCR,1347 Capital Corp.,0.3,,2014.0,Finance,Business Services,http://www.nasdaq.com/symbol/tfscr,NASDAQ,False
2,TFSCU,1347 Capital Corp.,10.19,$42.59M,2014.0,,,http://www.nasdaq.com/symbol/tfscu,NASDAQ,False
3,TFSCW,1347 Capital Corp.,0.23,,2014.0,Finance,Business Services,http://www.nasdaq.com/symbol/tfscw,NASDAQ,False
4,PIH,"1347 Property Insurance Holdings, Inc.",7.56,$48.07M,2014.0,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,NASDAQ,True
5,FLWS,"1-800 FLOWERS.COM, Inc.",11.56,$748.01M,1999.0,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,NASDAQ,True
6,FCTY,"1st Century Bancshares, Inc",6.8705,$69.85M,,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,NASDAQ,True
7,FCCY,1st Constitution Bancorp (NJ),11.52,$86.3M,,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,NASDAQ,True
8,SRCE,1st Source Corporation,32.63,$810.54M,,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,NASDAQ,True
9,VNET,"21Vianet Group, Inc.",17.39,$1.15B,2011.0,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,NASDAQ,True
10,TWOU,"2U, Inc.",25.4,$1.04B,2014.0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,NASDAQ,True
11,DGLD,3X Inverse Gold ETN Velocityshares,71.2692,$9.69M,,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dgld,NASDAQ,True
12,JOBS,"51job, Inc.",33.9,$2B,2004.0,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,NASDAQ,True
13,SIXD,"6D Global Technologies, Inc.",8.3599,$653.54M,,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/sixd,NASDAQ,True
14,EGHT,8x8 Inc,8.87,$797.13M,,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,NASDAQ,True
15,AVHI,"A V Homes, Inc.",15.97,$356.76M,,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,NASDAQ,True
16,SHLM,"A. Schulman, Inc.",48.15,$1.4B,1972.0,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,NASDAQ,True
17,AAON,"AAON, Inc.",23.85,$1.29B,,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,NASDAQ,True
18,ABAX,"ABAXIS, Inc.",63.1,$1.42B,1992.0,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,NASDAQ,True
19,ABY,Abengoa Yield plc,34.29,$2.74B,2014.0,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby,NASDAQ,True
20,ABGB,"Abengoa, S.A.",18.83,$3.16B,2013.0,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb,NASDAQ,True
21,ABMD,"ABIOMED, Inc.",70.72,$2.91B,,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,NASDAQ,True
22,AXAS,Abraxas Petroleum Corporation,3.35,$355.74M,,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,NASDAQ,True
23,ACTG,Acacia Research Corporation,10.6,$540.05M,,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,NASDAQ,True
24,ACHC,"Acadia Healthcare Company, Inc.",70.205,$4.67B,,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,NASDAQ,True
25,ACAD,ACADIA Pharmaceuticals Inc.,31.49,$3.15B,1985.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,NASDAQ,True
26,ACST,"Acasti Pharma, Inc.",0.4601,$48.97M,,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,NASDAQ,True
27,AXDX,"Accelerate Diagnostics, Inc.",22.7,$1.01B,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,NASDAQ,True
28,XLRN,Acceleron Pharma Inc.,34.58,$1.13B,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,NASDAQ,True
29,ANCX,Access National Corporation,18.74,$196.25M,,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,NASDAQ,True
30,ARAY,Accuray Incorporated,9.74,$764.49M,2007.0,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,NASDAQ,True
31,ACRX,"AcelRx Pharmaceuticals, Inc.",4.01,$175.3M,2011.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,NASDAQ,True
32,ACET,Aceto Corporation,21.9,$637.49M,,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,NASDAQ,True
