"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Summary Quote","Exchange"
"DDD","3D Systems Corporation","27.45","$3.05B","nan","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd","NYSE"
"MMM","3M Company","162.8","$103.43B","nan","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm","NYSE"
"WBAI","500.com Limited","12.29","$430.82M","2013","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/wbai","NYSE"
"WUBA","58.com Inc.","51.48","$4.52B","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba","NYSE"
"AHC","A.H. Belo Corporation","8.27","$179.71M","nan","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc","NYSE"
"ATEN","A10 Networks, Inc.","4.31","$265.26M","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten","NYSE"
"AAC","AAC Holdings, Inc.","30.99","$675.18M","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac","NYSE"
"AIR","AAR Corp.","30.6","$1.22B","nan","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air","NYSE"
"AAN","Aaron&#39;s,  Inc.","27.86","$2.02B","nan","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan","NYSE"
"ABB","ABB Ltd","21.49","$48.54B","nan","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb","NYSE"
"ABT","Abbott Laboratories","46.13","$69.61B","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt","NYSE"
"ABBV","AbbVie Inc.","57.01","$90.77B","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv","NYSE"
"ANF","Abercrombie & Fitch Company","22.22","$1.55B","nan","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf","NYSE"
"GCH","Aberdeen Greater China Fund, Inc.","10.35","$95.21M","1992","nan","nan","http://www.nasdaq.com/symbol/gch","NYSE"
"JEQ","Aberdeen Japan Equity Fund, Inc. ","8.1717","$115.47M","1992","nan","nan","http://www.nasdaq.com/symbol/jeq","NYSE"
"SGF","Aberdeen Singapore Fund, Inc.","11.54","$88.3M","1990","nan","nan","http://www.nasdaq.com/symbol/sgf","NYSE"
"ABM","ABM Industries Incorporated","32.02","$1.79B","nan","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm","NYSE"
"AKR","Acadia Realty Trust","34.87","$2.38B","nan","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr","NYSE"
"ACN","Accenture plc.","94.18","$61.51B","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn","NYSE"
"ACCO","Acco Brands Corporation","8.17","$916.42M","nan","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco","NYSE"
"ACW","Accuride Corporation New","4.92","$235.18M","nan","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw","NYSE"
"ACE","Ace Limited","111.2","$36.4B","nan","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ace","NYSE"
"ATV","Acorn International, Inc.","0.82","$22.62M","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv","NYSE"
